id_v11,id_v10,id_grd_v13,lat,lon,geo_mtd,qa_rank,val_scn,val_src,rv_mcm_v10,rv_mcm_v11,har_src,pnt_src,qc
20,20,-999,42.24157348,20.38356318,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
21,21,-999,40.64510745,19.89114955,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
22,22,-999,39.72342842,20.26205063,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
23,23,-999,40.37611311,20.23199456,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
24,24,-999,40.26375421,20.67791089,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
25,25,-999,41.51612596,19.55028814,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
26,26,-999,40.77389896,19.79750321,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
27,27,-999,41.41391404,19.57579006,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
28,28,-999,40.36771394,19.99047069,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
29,29,3981,41.691924,19.832658,geocoding (Google Maps),C4,,,-999,140,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: AX,AM,JW; GRanD-har: AM"
30,30,-999,40.72370838,19.72532676,geo-matching MARS,M1,correct,MARS,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW; val: MD"
31,31,-999,41.36872873,19.67026685,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
32,32,-999,41.53471788,20.08931353,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
33,33,-999,41.34245179,19.43805169,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
34,34,-999,41.3617419,19.7926528,geocoding (Google Maps),C1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: MD,AM,JW"
35,35,-999,41.21555877,20.05561508,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
36,36,-999,40.36194022,20.16612553,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
37,37,-999,42.4039398,20.1942395,geocoding (Google Maps),C2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: CF,JZ,AX,AM,JW"
38,38,-999,42.18499264,19.46455039,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
39,39,-999,40.40757582,19.81389135,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
40,40,-999,40.53922155,20.48037767,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
41,41,-999,40.36689804,20.42350018,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
42,42,-999,40.55564306,19.48562909,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
43,43,-999,41.445278,19.866667,geocoding (Google Maps),C1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: MD,AM,JW"
44,44,-999,41.27053348,19.60405347,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
45,45,-999,40.02998874,20.35653422,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
46,46,-999,41.61321911,20.47371524,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
47,47,-999,40.33353886,20.6692258,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
48,48,-999,40.55003089,20.02684453,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
49,49,-999,40.68135052,20.66289973,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
50,50,-999,40.70170761,19.67011929,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
51,51,-999,41.94963119,20.57242576,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
52,52,-999,40.34953624,19.65783836,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
53,53,-999,40.65331393,20.00111791,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
54,54,-999,40.67634702,20.27981146,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
55,55,-999,41.3368037,19.69710588,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
56,56,-999,41.29393098,19.62254695,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
57,57,-999,41.27753876,19.74621563,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
58,58,-999,41.662201,20.45559429,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
59,59,-999,41.36090141,19.67629429,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
60,60,-999,41.55345502,19.6821981,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
61,61,-999,40.52554691,20.92470031,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
62,62,-999,40.65855071,19.68435267,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
63,63,-999,41.3919133,19.95780819,geo-matching MARS,M3,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
64,64,-999,41.19353766,19.57813845,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
65,65,-999,41.56845597,20.36907035,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
66,66,-999,40.8166667,20.05,geocoding (Google Maps),C1,correct,Google Maps,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW; val: JM,JW"
67,67,-999,40.70633124,20.6905795,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
68,68,-999,41.44550788,19.58441479,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
69,69,-999,41.311393,19.8179541,geocoding (Google Maps),C1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: MD,AM,JW"
70,70,-999,40.15351961,20.50764257,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
71,71,-999,40.33782037,19.96876718,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
72,72,-999,41.33890571,20.0395438,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
73,73,-999,40.15856316,20.3148378,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
74,74,-999,40.48833452,20.14433177,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
75,75,-999,40.46750338,19.79979721,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
76,76,-999,41.32766767,19.51765686,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
77,77,-999,40.56272296,20.6827423,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
78,78,-999,40.45521104,19.65534057,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
79,79,-999,41.02223811,19.90170813,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
80,80,-999,42.04263822,19.89854906,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
81,81,-999,40.62080667,20.91546675,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
82,82,-999,41.80477619,19.982693,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
83,83,-999,41.40153102,19.90830659,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
84,84,-999,41.01464328,19.79663821,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
85,85,-999,40.97060751,19.5782509,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
86,86,-999,41.37460125,19.82226116,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
87,87,-999,42.12160917,20.33325932,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
88,88,-999,40.6111162,19.76450656,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
89,89,-999,41.20954494,20.19978351,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
90,90,-999,40.57650705,19.77844733,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
91,91,-999,41.43039593,19.78940461,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
92,92,-999,41.51161837,20.12962537,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
93,93,-999,41.38261895,19.6761133,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
94,94,-999,40.49412374,19.50648555,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
95,95,-999,41.81059704,19.97160065,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
96,96,-999,40.31772711,20.20312828,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
97,97,-999,40.67481235,19.91801659,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
98,98,-999,39.86829596,20.36066691,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
99,99,-999,40.66887773,19.84480438,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
100,100,-999,41.08305042,19.5206068,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
101,101,-999,41.31341305,19.64292903,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
102,102,-999,41.09953603,19.49341632,geo-matching MARS,M3,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
103,103,-999,42.22265902,20.27497985,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
104,104,-999,41.15523878,19.78559898,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
105,105,-999,41.38852936,19.58450711,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
106,106,-999,40.53444506,20.92280929,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
107,107,-999,41.34990066,19.5923941,geo-matching MARS,M3,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
108,108,-999,41.30252439,19.60634185,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
109,109,-999,40.94742327,19.79651464,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
110,110,-999,41.35830086,19.60059575,geo-matching MARS,M3,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
111,111,-999,40.79732826,20.69289063,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
112,112,-999,39.76770219,20.14051745,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
113,113,3982,41.681447,19.898091,geocoding (Google Maps),C4,,,-999,240,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: AX,AM,JW; GRanD-har: AM"
114,114,-999,39.85780003,20.3647052,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
115,115,-999,41.2982172,19.52519771,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
116,116,-999,41.01664086,20.07283607,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
117,117,-999,40.9866032,19.94241667,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
118,118,-999,40.50231429,20.07227911,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
119,119,-999,40.51260662,19.84777953,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
120,120,-999,41.4208333,19.7497222,geocoding (Google Maps),C2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: CF,JZ,AX,AM,JW"
121,121,-999,40.20786712,19.89385913,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
122,122,-999,41.32924652,19.59025008,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
123,123,-999,42.09339634,19.5731039,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
124,124,-999,40.52370631,20.64922384,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
125,125,-999,41.17073637,19.82281123,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
126,126,-999,40.9801019,19.80709957,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
127,127,-999,42.28902023,20.12020742,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
128,128,-999,41.30800228,19.86139752,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
129,129,-999,40.71030226,19.72160468,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
130,130,-999,40.4404447,20.67639593,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
131,131,-999,40.47591342,20.08814859,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
132,132,3967,42.107471,19.828053,geo-matching MARS,M1,,,-999,450,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: AM,JW; GRanD-har: AM"
133,133,-999,41.41459947,19.66150781,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
134,134,-999,41.48921014,19.58326709,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
135,135,-999,40.44533638,20.07875381,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
136,136,-999,40.83450052,20.26169802,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
137,137,-999,40.45043156,19.79965004,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
138,138,-999,40.83619013,20.25824258,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
139,139,-999,40.4307226,19.8495821,geocoding (Google Maps),C1,correct,Google Maps,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: MD,AM,JW; val: JM,JW"
140,140,-999,36.648393,3.5951912,geocoding (Google Maps),C2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: CF,JZ,AX,AM,JW"
141,141,-999,35.16456249,7.019277611,geocoding (Google Maps),C1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
142,142,-999,36.7540663,8.3925354,geocoding (Google Maps),C2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: CF,JZ,AX,AM,JW"
143,143,3586,35.959675,0.964583,geocoding (Google Maps),C2,,,-999,450,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: CF,JZ,AX,AM,JW; GRanD-har: AM"
144,144,6879,36.61327983,5.84702399,geocoding (Google Maps),C2,,,-999,294.4,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: CF,JZ,AX,AM,JW; GRanD-har: AM"
145,145,3585,35.975135,1.312181,geocoding (Google Maps),C2,,,-999,286,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: CF,JZ,AX,AM,JW; GRanD-har: AM"
146,146,3574,36.242999,3.071649,geocoding (Google Maps),C2,correct,Google Maps,-999,10,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: CF,JZ,AX,AM,JW; val: JM,JW; GRanD-har: AM"
147,147,3566,36.472177,5.272917,geocoding (Google Maps),C3,,,-999,160,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: AM,JW; GRanD-har: AM"
148,148,3561,36.7149184,6.6356564,geocoding (Google Maps),C2,,,-999,125,GRanD v1.3 and GeoDAR v1.0,corrected GRanD,"georf: CF,JZ,AX,AM,JW; GRanD-har: JW"
149,149,3597,35.47451074,6.937114301,geocoding (Google Maps),C2,correct,Google Maps,-999,25,GRanD v1.3 and GeoDAR v1.0,corrected GRanD,"georf: CF,JZ,AX,AM,JW; val: JM,JW; GRanD-har: JW"
150,150,-999,36.2435536,5.7425569,geocoding (Google Maps),C2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: CF,JZ,AX,AM,JW"
151,151,3595,35.344664,1.038542,geocoding (Google Maps),C2,,,-999,56,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: CF,JZ,AX,AM,JW; GRanD-har: AM"
152,152,-999,36.3246023,2.0248701,geocoding (Google Maps),C2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: CF,JZ,AX,AM,JW"
153,153,3558,36.611093,8.044296,geocoding (Google Maps),C1,,,-999,171,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: AM,JW; GRanD-har: AM"
154,154,3557,36.651373,3.419799,geocoding (Google Maps),C2,,,-999,146,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: CF,JZ,AX,AM,JW; GRanD-har: AM"
155,155,-999,36.497656,5.2700763,geocoding (Google Maps),C4,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AX,AM,JW"
156,156,6873,36.79328781,6.318860849,geocoding (Google Maps),C2,,,-999,100,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: CF,JZ,AX,AM,JW; GRanD-har: AM"
157,157,-999,36.7324026,3.8165596,geocoding (Google Maps),C1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
158,158,3587,35.831424,4.568706,geocoding (Google Maps),C1,,,-999,29.5,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: AM,JW; GRanD-har: AM"
159,159,3559,36.601388,3.346875,geocoding (Google Maps),C4,,,-999,21,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: AX,AM,JW; GRanD-har: AM"
160,160,6881,36.35976901,4.102050183,geocoding (Google Maps),C2,,,-999,167,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: CF,JZ,AX,AM,JW; GRanD-har: AM"
161,161,3571,36.263324,7.859864,geocoding (Google Maps),C2,,,-999,82,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: CF,JZ,AX,AM,JW; GRanD-har: AM"
162,162,3588,35.746919,2.776042,geocoding (Google Maps),C2,,,-999,55,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: CF,JZ,AX,AM,JW; GRanD-har: AM"
163,163,-999,36.0866853,7.3921795,geocoding (Google Maps),C4,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AX,AM,JW"
164,164,2933,35.277014,-0.064632,geocoding (Google Maps),C2,,,-999,73,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: CF,JZ,AX,AM,JW; GRanD-har: AM"
165,165,2938,35.094774,-1.135429,geocoding (Google Maps),C2,,,-999,110,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: CF,JZ,AX,AM,JW; GRanD-har: AM"
166,166,3596,35.29844579,-0.581649036,geocoding (Google Maps),C2,correct,Google Maps,-999,22,GRanD v1.3 and GeoDAR v1.0,corrected GRanD,"georf: CF,JZ,AX,AM,JW; val: JM,JW; GRanD-har: JW"
167,167,6875,36.48636666,3.590599891,geocoding (Google Maps),C2,,,-999,640,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: CF,JZ,AX,AM,JW; GRanD-har: AM"
168,168,3589,35.57179,0.586458,geocoding (Google Maps),C2,,,-999,235,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: CF,JZ,AX,AM,JW; GRanD-har: AX,JW"
169,169,-999,36.9136491,6.4956455,geocoding (Google Maps),C1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
170,170,3562,36.582526,5.575704,geocoding (Google Maps),C2,,,-999,200,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: CF,JZ,AX,AM,JW; GRanD-har: AM"
171,171,6880,36.67553054,4.119625141,geocoding (Google Maps),C2,,,-999,175,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: CF,JZ,AX,AM,JW; GRanD-har: AM"
172,172,3577,36.171641,5.150723,geocoding (Google Maps),C2,,,-999,125,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: CF,JZ,AX,AM,JW; GRanD-har: AM"
173,173,-999,36.7768093,5.6865582,geocoding (Google Maps),C1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
